연도,시도,입학자수,,전문대학,,교육대학,,일반대학,,방송통신대학,,산업대학,,기술대학,,각종학교,,원격및사이버대학,,사내대학,,전공대학,,기능대학,,대학원,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,계,,석사,,박사,
,,계,여,계,여,계,여,계,여,계,여,계,여,계,여,계,여,계,여,계,여,계,여,계,여,계,여,계,여,계,여
2017,대전,36800,17018,8747,4501,0,0,19262,8987,0,0,0,0,0,0,0,0,733,536,26,7,0,0,545,30,7487,2957,5539,2379,1948,578
2018,대전,37152,17202,8593,4490,0,0,19493,9083,0,0,0,0,0,0,0,0,945,691,33,10,0,0,496,34,7592,2894,5615,2313,1977,581
2019,대전,37342,17441,8874,4600,0,0,19360,9025,0,0,0,0,0,0,0,0,1027,776,40,22,0,0,490,39,7551,2979,5336,2261,2215,718
2020,대전,36675,17027,8102,4124,0,0,19212,9014,0,0,0,0,0,0,0,0,939,689,31,10,0,0,453,29,7938,3161,5496,2331,2442,830
2021,대전,33711,15450,6266,3339,0,0,18373,8241,0,0,0,0,0,0,0,0,1040,743,17,5,0,0,372,24,7643,3098,5429,2325,2214,773
1999,울산,6231,2417,2576,1084,0,0,3045,1188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,610,145,546,133,64,12
2000,울산,7464,3134,3641,1665,0,0,3113,1272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,710,197,633,179,77,18
2001,울산,8489,3896,4739,2383,0,0,3088,1306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,662,207,565,183,97,24
2002,울산,8301,3770,4503,2210,0,0,3035,1275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,763,285,662,259,101,26
2003,울산,7958,3591,4129,2095,0,0,3076,1198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,753,298,643,267,110,31
2004,울산,7525,3221,3543,1734,0,0,3158,1142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,824,345,708,310,116,35
2005,울산,7543,3325,3602,1755,0,0,3145,1233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,796,337,664,290,132,47
2006,울산,7529,3329,3441,1659,0,0,3206,1289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,882,381,726,328,156,53
2007,울산,7686,3292,3545,1638,0,0,3199,1268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,942,386,760,332,182,54
2008,울산,7756,3398,3512,1637,0,0,3238,1329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1006,432,822,367,184,65
2009,울산,8387,3640,3568,1692,0,0,3768,1481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1051,467,846,410,205,57
2010,울산,8722,3730,3555,1664,0,0,4011,1577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1156,489,893,409,263,80
2011,울산,9058,3897,3564,1716,0,0,3903,1643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,431,29,1160,509,882,434,278,75
2012,울산,9165,3856,3580,1665,0,0,3876,1632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,494,31,1215,528,951,430,264,98
2013,울산,8927,3734,3203,1580,0,0,3855,1604,0,0,0,0,0,0,0,0,0,0,60,4,0,0,518,28,1291,518,913,391,378,127
2014,울산,8802,3693,3060,1546,0,0,3872,1599,0,0,0,0,0,0,0,0,0,0,60,0,0,0,506,20,1304,528,865,386,439,142
2015,울산,8699,3651,2978,1429,0,0,3769,1603,0,0,0,0,0,0,0,0,0,0,60,1,0,0,510,34,1382,584,896,415,486,169
2016,울산,8172,3551,2865,1461,0,0,3355,1516,0,0,0,0,0,0,0,0,0,0,54,4,0,0,484,23,1414,547,861,397,553,150
2017,울산,8127,3536,2851,1427,0,0,3321,1528,0,0,0,0,0,0,0,0,0,0,49,4,0,0,476,21,1430,556,877,391,553,165
2018,울산,8058,3509,2920,1459,0,0,3306,1452,0,0,0,0,0,0,0,0,0,0,42,2,0,0,475,19,1315,577,817,409,498,168
2019,울산,8365,3673,3081,1504,0,0,3316,1518,0,0,0,0,0,0,0,0,0,0,38,3,0,0,401,6,1529,642,1002,464,527,178
2020,울산,8249,3539,3158,1464,0,0,3294,1457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,377,6,1420,612,935,426,485,186
2021,울산,8153,3475,2916,1422,0,0,3236,1320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,346,7,1655,726,1090,522,565,204
2013,세종,5216,2222,1669,952,0,0,3157,1142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,390,128,298,104,92,24
2014,세종,5147,2198,1622,909,0,0,3077,1126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,448,163,320,115,128,48
2015,세종,5362,2369,1441,829,0,0,3089,1229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,832,311,698,259,134,52
2016,세종,5383,2442,1503,876,0,0,3077,1237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,803,329,692,287,111,42
2017,세종,5290,2423,1454,822,0,0,3006,1262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,830,339,710,294,120,45
2018,세종,5119,2400,1498,904,0,0,2847,1180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,774,316,644,273,130,43
2019,세종,5177,2473,1543,902,0,0,2879,1283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,755,288,632,241,123,47
2020,세종,5141,2394,1433,798,0,0,2863,1223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,845,373,716,325,129,48
2021,세종,5106,2253,1209,652,0,0,2916,1195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,981,406,811,342,170,64
1999,경기,116204,51120,72231,33722,0,0,36501,15651,0,0,2201,463,0,0,69,22,0,0,0,0,0,0,0,0,5202,1262,4819,1202,383,60
2000,경기,122282,56377,77069,38132,0,0,36569,15732,0,0,2165,544,0,0,61,20,0,0,0,0,0,0,0,0,6418,1949,5913,1863,505,86
2001,경기,123943,57814,78436,38920,0,0,36362,16024,0,0,2245,604,0,0,53,22,0,0,0,0,0,0,0,0,6847,2244,6318,2125,529,119
2002,경기,128545,60752,81849,41507,0,0,35937,15909,0,0,2916,710,0,0,114,39,0,0,0,0,0,0,0,0,7729,2587,7085,2445,644,142
2003,경기,127592,60096,79405,40000,0,0,37023,16379,0,0,2961,785,0,0,53,20,0,0,0,0,0,0,0,0,8150,2912,7476,2761,674,151
2004,경기,126836,59808,77026,38351,0,0,37207,16952,0,0,3293,851,0,0,31,15,1352,671,29,0,0,0,0,0,7898,2968,7252,2823,646,145
2005,경기,130404,61043,76000,37458,490,321,38840,17430,0,0,3145,922,0,0,27,13,2718,1509,31,0,0,0,0,0,9153,3390,8206,3177,947,213
2006,경기,132656,62255,77525,38337,496,298,39095,17698,0,0,3147,888,0,0,16,8,2026,1172,32,1,0,0,0,0,10319,3853,9177,3569,1142,284
2007,경기,130224,61278,71167,35058,455,286,41117,19121,0,0,3180,940,0,0,33,17,3784,2064,32,1,0,0,0,0,10456,3791,9240,3487,1216,304
2008,경기,135923,64846,71485,35746,437,278,44216,20574,0,0,3052,948,0,0,29,13,4111,2305,32,1,0,0,0,0,12561,4981,10833,4446,1728,535
2009,경기,134105,63786,71195,35672,427,309,45211,20832,0,0,2994,862,0,0,30,17,1756,1233,32,0,0,0,0,0,12460,4861,10872,4380,1588,481
2010,경기,133692,65649,72559,36882,393,298,43628,21212,0,0,3069,972,0,0,27,16,2045,1420,28,2,0,0,0,0,11943,4847,10528,4371,1415,476
2011,경기,134217,65867,72959,37385,0,0,43927,21227,0,0,3048,885,0,0,17,9,1596,1087,23,2,0,0,1044,408,11603,4864,10159,4349,1444,515
2012,경기,132209,64945,73154,37568,0,0,44785,21035,0,0,0,0,0,0,18,11,1508,984,16,1,0,0,1072,410,11656,4936,10084,4370,1572,566
2013,경기,129104,64054,70808,36920,0,0,43920,20688,0,0,0,0,0,0,18,9,1069,687,16,2,0,0,1077,377,12196,5371,10470,4727,1726,644
2014,경기,124892,62636,67233,34981,0,0,42980,20988,0,0,0,0,0,0,8,4,1416,924,12,0,0,0,1083,389,12160,5350,10271,4608,1889,742
2015,경기,122780,61965,65151,34075,0,0,42164,20887,0,0,0,0,0,0,0,0,1597,1069,12,1,0,0,1073,186,12783,5747,10760,4944,2023,803
2016,경기,120124,60633,63518,33083,0,0,41321,20709,0,0,0,0,0,0,0,0,1510,993,15,0,0,0,1066,124,12694,5724,10524,4845,2170,879
2017,경기,116932,58771,61247,31765,0,0,40680,20153,0,0,0,0,0,0,0,0,1417,881,9,0,0,0,1101,105,12478,5867,10421,4968,2057,899
2018,경기,117855,59447,61251,31865,0,0,40861,20364,0,0,0,0,0,0,0,0,1421,922,12,1,0,0,1053,84,13257,6211,11035,5179,2222,1032
2019,경기,118752,59785,61681,32065,0,0,41422,20347,0,0,0,0,0,0,0,0,1204,754,11,2,0,0,1036,87,13398,6530,11006,5393,2392,1137
2020,경기,116960,58263,60204,30684,0,0,41251,20148,0,0,0,0,0,0,0,0,1252,819,15,3,0,0,968,87,13270,6522,10903,5400,2367,1122
2021,경기,107623,53443,51070,26405,0,0,40847,19523,0,0,0,0,0,0,0,0,1694,999,14,2,0,0,768,69,13230,6445,10598,5165,2632,1280
1999,강원,31405,12440,11872,5521,431,326,15094,5598,0,0,1932,394,0,0,0,0,0,0,0,0,0,0,0,0,2076,601,1899,569,177,32
2000,강원,32272,13472,11548,5731,458,342,15936,6183,0,0,1876,387,0,0,0,0,0,0,0,0,0,0,0,0,2454,829,2184,777,270,52
2001,강원,32814,13718,11549,5706,438,332,16605,6428,0,0,1902,445,0,0,0,0,0,0,0,0,0,0,0,0,2320,807,2067,767,253,40
2002,강원,32011,13756,10848,5432,452,337,16132,6527,0,0,1924,444,0,0,0,0,0,0,0,0,0,0,0,0,2655,1016,2368,977,287,39
2003,강원,28825,12219,8313,4329,468,351,15594,6021,0,0,1906,479,0,0,0,0,0,0,0,0,0,0,0,0,2544,1039,2234,955,310,84
2004,강원,27862,11687,7652,3952,555,411,15151,5831,0,0,2058,497,0,0,0,0,0,0,0,0,0,0,0,0,2446,996,2110,906,336,90
2005,강원,27528,11448,7847,3963,555,410,14657,5606,0,0,2018,500,0,0,0,0,0,0,0,0,0,0,0,0,2451,969,2093,873,358,96
2006,강원,27743,11699,7768,3906,564,412,16920,6328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2491,1053,2133,955,358,98
2007,강원,30226,12413,7960,3916,514,360,19075,7085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2677,1052,2286,944,391,108
2008,강원,29160,11942,7521,3702,485,362,18466,6811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2688,1067,2310,948,378,119
2009,강원,29251,11866,7254,3625,471,336,18882,6801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2644,1104,2299,1017,345,87
2010,강원,30992,13009,8033,3883,446,330,19314,7405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3199,1391,2727,1227,472,164
2011,강원,31160,12998,8450,4065,397,256,19153,7428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,281,21,2879,1228,2451,1091,428,137
2012,강원,30095,12571,7929,3884,354,235,18735,7164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,276,19,2801,1269,2378,1113,423,156
2013,강원,29461,12500,6895,3371,348,209,19139,7636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,19,2823,1265,2318,1069,505,196
2014,강원,29083,12347,7032,3367,348,254,18649,7384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252,24,2802,1318,2292,1129,510,189
2015,강원,28458,12100,7030,3425,344,254,18164,7216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,19,2664,1186,2115,1002,549,184
2016,강원,27142,11838,6633,3282,344,267,17229,7029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,313,22,2623,1238,2156,1055,467,183
2017,강원,26130,11587,6275,3155,343,246,16821,7058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,315,20,2376,1108,1896,926,480,182
2018,강원,25519,11477,6097,3105,343,240,16312,6970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,316,23,2451,1139,1952,951,499,188
2019,강원,25504,11605,5835,2994,343,216,16389,7106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,246,15,2691,1274,2117,1055,574,219
2020,강원,24658,11162,4367,2313,342,212,16913,7276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,271,18,2765,1343,2187,1105,578,238
2021,강원,22198,10088,3658,1975,341,209,14987,6517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260,14,2952,1373,2290,1131,662,242
1999,충북,31239,13142,11713,5342,361,272,14428,6078,0,0,1872,412,0,0,0,0,0,0,0,0,0,0,0,0,2865,1038,2533,975,332,63
2000,충북,32116,13845,12189,5409,396,300,14580,6476,0,0,1847,460,0,0,0,0,0,0,0,0,0,0,0,0,3104,1200,2742,1129,362,71
2001,충북,32423,13901,11865,5018,396,297,14562,6509,0,0,1912,483,0,0,0,0,0,0,0,0,0,0,0,0,3688,1594,3330,1521,358,73
2002,충북,32830,14456,12492,5582,406,301,14771,6522,0,0,1781,449,0,0,0,0,0,0,0,0,0,0,0,0,3380,1602,3017,1495,363,107
2003,충북,30192,13295,9563,4474,406,309,14727,6357,0,0,1909,457,0,0,0,0,0,0,0,0,0,0,0,0,3587,1698,3199,1592,388,106
2004,충북,28579,12790,7935,3897,476,368,15118,6453,0,0,1878,434,0,0,0,0,0,0,0,0,0,0,0,0,3172,1638,2801,1508,371,130
2005,충북,28607,12901,7148,3508,476,362,15219,6660,0,0,1958,437,0,0,0,0,0,0,0,0,0,0,0,0,3806,1934,3325,1776,481,158
2006,충북,29280,13414,6972,3267,478,342,15809,7066,0,0,2186,718,0,0,0,0,0,0,0,0,0,0,0,0,3835,2021,3411,1882,424,139
2007,충북,31489,14334,8896,4086,447,330,16019,7086,0,0,2139,762,0,0,0,0,0,0,0,0,0,0,0,0,3988,2070,3518,1900,470,170
2008,충북,30995,13977,8586,3875,423,297,15972,7067,0,0,2166,734,0,0,0,0,0,0,0,0,0,0,0,0,3848,2004,3404,1846,444,158
2009,충북,30483,13802,8118,3712,439,294,15877,7029,0,0,2156,744,0,0,0,0,0,0,0,0,0,0,0,0,3893,2023,3451,1863,442,160
2010,충북,32463,14886,9117,4265,399,288,18601,8086,0,0,0,0,0,0,122,61,0,0,0,0,0,0,0,0,4224,2186,3685,1979,539,207
2011,충북,32680,14657,9102,4051,356,241,18699,8236,0,0,0,0,0,0,87,21,0,0,0,0,0,0,384,14,4052,2094,3544,1923,508,171
2012,충북,32486,14112,8621,3953,315,218,19058,7871,0,0,0,0,0,0,47,18,0,0,0,0,0,0,418,20,4027,2032,3400,1780,627,252
2013,충북,31832,14018,8203,3841,313,212,18871,7950,0,0,0,0,0,0,88,40,0,0,0,0,0,0,412,13,3945,1962,3297,1680,648,282
2014,충북,31704,14232,7972,3605,313,222,18836,8336,0,0,0,0,0,0,89,46,0,0,0,0,0,0,418,11,4076,2012,3442,1765,634,247
2015,충북,30577,13746,7341,3450,309,228,18225,7849,0,0,0,0,0,0,110,57,0,0,0,0,0,0,411,27,4181,2135,3504,1835,677,300
2016,충북,29497,13430,7005,3382,308,213,17689,7737,0,0,0,0,0,0,85,54,0,0,0,0,0,0,412,23,3998,2021,3326,1752,672,269
2017,충북,28658,13046,6696,3327,308,221,17203,7426,0,0,0,0,0,0,47,28,0,0,0,0,0,0,405,19,3999,2025,3283,1712,716,313
2018,충북,28476,13175,6448,3245,307,192,17035,7445,0,0,0,0,0,0,38,20,0,0,0,0,0,0,397,14,4251,2259,3494,1904,757,355
2019,충북,28061,12764,6357,3065,306,192,17014,7512,0,0,0,0,0,0,40,7,0,0,0,0,0,0,405,21,3939,1967,3173,1672,766,295
2020,충북,27547,12654,5741,2942,306,203,17004,7436,0,0,0,0,0,0,15,1,0,0,0,0,0,0,364,14,4117,2058,3286,1712,831,346
2021,충북,25637,12081,4871,2621,312,203,15691,7024,0,0,0,0,0,0,23,1,0,0,0,0,0,0,383,19,4357,2213,3508,1821,849,392
1999,충남,46683,18975,13265,6125,473,425,26175,10314,0,0,4366,1371,0,0,86,36,0,0,0,0,0,0,0,0,2318,704,2224,698,94,6
2000,충남,48127,20395,13690,6393,512,384,25938,10731,0,0,4439,1637,0,0,208,99,0,0,0,0,0,0,0,0,3340,1151,3163,1132,177,19
2001,충남,50060,21726,12774,5859,531,400,28267,12271,0,0,4445,1779,0,0,193,95,0,0,0,0,0,0,0,0,3850,1322,3607,1289,243,33
2002,충남,51358,23295,12528,5911,530,416,29575,13239,0,0,4389,2001,0,0,67,26,0,0,0,0,0,0,0,0,4269,1702,3981,1650,288,52
2003,충남,51147,22644,10987,5220,530,396,30651,13354,0,0,4307,1747,0,0,57,15,0,0,0,0,0,0,0,0,4615,1912,4304,1844,311,68
2004,충남,50398,22656,10355,5124,590,435,31261,13652,0,0,4038,1631,0,0,98,31,0,0,0,0,0,0,0,0,4056,1783,3709,1717,347,66
2005,충남,48795,21480,8678,4301,588,412,31264,13389,0,0,3768,1452,0,0,125,35,0,0,0,0,0,0,0,0,4372,1891,3948,1796,424,95
2006,충남,50942,23620,9776,4752,593,394,31836,14497,0,0,4301,1939,0,0,92,17,0,0,0,0,0,0,0,0,4344,2021,3926,1923,418,98
2007,충남,52353,24307,10685,5166,535,369,32113,14642,0,0,4354,2013,0,0,162,51,0,0,0,0,0,0,0,0,4504,2066,4043,1937,461,129
2008,충남,52749,24383,10450,4980,530,367,32468,14736,0,0,4554,2072,0,0,211,68,0,0,0,0,0,0,0,0,4536,2160,4015,1987,521,173
2009,충남,52554,24067,9803,4757,534,366,32620,14676,0,0,4558,2016,0,0,136,45,0,0,0,0,0,0,0,0,4903,2207,4282,2021,621,186
2010,충남,55076,26006,10951,5462,480,334,32998,15225,0,0,4569,2132,0,0,193,74,546,396,0,0,0,0,0,0,5339,2383,4503,2110,836,273
2011,충남,56087,26590,10830,5349,438,297,33118,15551,0,0,4519,2211,0,0,324,144,654,420,0,0,0,0,583,122,5621,2496,4757,2215,864,281
2012,충남,54695,25561,10340,5165,388,241,35584,16637,0,0,1527,574,0,0,206,111,634,362,0,0,0,0,602,121,5414,2350,4479,2039,935,311
2013,충남,47604,22681,8358,4086,381,256,31031,14889,0,0,1551,673,0,0,154,93,569,351,0,0,0,0,648,106,4912,2227,3998,1869,914,358
2014,충남,47236,22671,8084,3832,379,270,30886,14966,0,0,1697,754,0,0,0,0,784,499,0,0,0,0,659,107,4747,2243,3992,1935,755,308
2015,충남,45940,22380,8092,3864,372,264,29650,14618,0,0,1682,795,0,0,0,0,725,473,0,0,0,0,670,105,4749,2261,3987,1948,762,313
2016,충남,44355,22129,7653,3757,372,253,28395,14363,0,0,1660,816,0,0,0,0,791,482,0,0,0,0,654,120,4830,2338,3979,1980,851,358
2017,충남,43427,21515,7292,3514,381,240,27986,14012,0,0,1615,777,0,0,0,0,809,549,0,0,0,0,629,106,4715,2317,3892,1966,823,351
2018,충남,43301,21533,7106,3475,379,250,27915,14007,0,0,1489,725,0,0,0,0,781,521,0,0,0,0,615,102,5016,2453,4154,2062,862,391
2019,충남,43461,21665,7135,3528,383,247,27906,13929,0,0,1561,759,0,0,0,0,863,572,0,0,0,0,591,101,5022,2529,3927,2024,1095,505
2020,충남,42855,21392,6565,3291,380,220,27818,13827,0,0,1439,688,0,0,0,0,941,614,0,0,0,0,586,108,5126,2644,3985,2093,1141,551
2021,충남,40688,19831,5394,2767,381,218,27408,13150,0,0,1162,567,0,0,0,0,720,450,0,0,0,0,524,91,5099,2588,4081,2146,1018,442
1999,전북,37241,15101,12345,6024,296,223,19017,7249,0,0,2209,490,0,0,0,0,0,0,0,0,0,0,0,0,3374,1115,2909,1028,465,87
2000,전북,36703,15276,12661,6251,348,270,17270,6877,0,0,2563,506,0,0,0,0,0,0,0,0,0,0,0,0,3861,1372,3265,1243,596,129
2001,전북,40119,16678,13896,6559,346,275,19852,8020,0,0,2291,380,0,0,0,0,0,0,0,0,0,0,0,0,3734,1444,3174,1313,560,131
2002,전북,35483,15418,11496,5779,365,276,17852,7350,0,0,1803,395,0,0,0,0,0,0,0,0,0,0,0,0,3967,1618,3347,1435,620,183
2003,전북,32364,14400,10205,5204,400,293,16471,6931,0,0,1424,266,0,0,0,0,0,0,0,0,0,0,0,0,3864,1706,3247,1515,617,191
2004,전북,32327,14752,9793,5052,457,310,16385,7001,0,0,1245,382,0,0,0,0,572,338,0,0,0,0,0,0,3875,1669,3135,1465,740,204
2005,전북,32903,15209,9499,4968,456,315,17000,7177,0,0,1028,304,0,0,0,0,972,628,0,0,0,0,0,0,3948,1817,3187,1580,761,237
2006,전북,32993,15258,9756,5131,456,292,16444,6860,0,0,1677,581,0,0,0,0,623,422,0,0,0,0,0,0,4037,1972,3306,1737,731,235
2007,전북,34777,16081,10627,5593,425,299,17269,7274,0,0,1733,480,0,0,0,0,654,446,0,0,0,0,0,0,4069,1989,3283,1708,786,281
2008,전북,33348,15689,9314,5453,396,284,17369,7036,0,0,1505,377,0,0,0,0,781,529,0,0,0,0,0,0,3983,2010,3300,1755,683,255
2009,전북,34307,16159,9193,5199,424,277,17515,7160,0,0,1509,467,0,0,0,0,1272,860,0,0,0,0,0,0,4394,2196,3574,1850,820,346
2010,전북,35157,16804,9407,5187,392,249,17902,7582,0,0,1483,528,0,0,0,0,1541,1029,0,0,0,0,0,0,4432,2229,3562,1859,870,370
2011,전북,35088,16661,9676,5163,351,239,17824,7776,0,0,1460,494,0,0,0,0,1192,849,0,0,0,0,356,9,4229,2131,3399,1787,830,344
2012,전북,33537,15431,9025,4806,310,202,17138,7140,0,0,1191,422,0,0,0,0,1199,815,0,0,0,0,351,12,4323,2034,3460,1668,863,366
2013,전북,31622,14645,8406,4494,305,197,16235,6975,0,0,1393,519,0,0,0,0,578,369,0,0,0,0,374,10,4331,2081,3500,1713,831,368
2014,전북,31503,14798,8159,4390,305,221,15856,6738,0,0,1584,629,0,0,0,0,1060,698,0,0,0,0,377,15,4162,2107,3248,1703,914,404
2015,전북,31589,14953,8629,4594,303,215,15573,6638,0,0,1528,631,0,0,0,0,1164,818,0,0,0,0,351,9,4041,2048,3189,1674,852,374
2016,전북,31028,15006,8384,4497,299,211,15159,6686,0,0,1460,586,0,0,0,0,1417,1006,0,0,0,0,378,12,3931,2008,3069,1644,862,364
2017,전북,30477,14756,8273,4477,299,220,14949,6557,0,0,1403,607,0,0,0,0,1366,945,0,0,0,0,362,10,3825,1940,2904,1557,921,383
2018,전북,30047,14588,8037,4366,302,188,14755,6433,0,0,1332,640,0,0,0,0,1390,952,0,0,0,0,357,9,3874,2000,2871,1554,1003,446
2019,전북,30428,14547,7718,4184,301,178,15131,6450,0,0,1337,603,0,0,0,0,1384,957,0,0,0,0,329,2,4228,2173,2883,1518,1345,655
2020,전북,29980,14391,7423,4009,297,165,15182,6448,0,0,1385,677,0,0,0,0,1398,1019,0,0,0,0,335,12,3960,2061,2749,1495,1211,566
2021,전북,27818,13466,7127,3878,303,173,13522,5726,0,0,1217,616,0,0,0,0,1430,1005,0,0,0,0,275,10,3944,2058,2755,1499,1189,559
1999,전남,27191,10519,13883,5782,0,0,10974,4103,0,0,1290,339,0,0,0,0,0,0,0,0,0,0,0,0,1044,295,996,289,48,6
2000,전남,26849,10429,14148,5783,0,0,9667,3818,0,0,1509,392,0,0,0,0,0,0,0,0,0,0,0,0,1525,436,1404,420,121,16
2001,전남,29979,11823,16301,7037,0,0,10076,3765,0,0,1885,450,0,0,0,0,0,0,0,0,0,0,0,0,1717,571,1558,542,159,29
2002,전남,26857,11159,14296,6434,0,0,9447,3716,0,0,1454,409,0,0,0,0,0,0,0,0,0,0,0,0,1660,600,1467,574,193,26
2003,전남,25154,10978,14030,6800,0,0,8301,3135,0,0,1030,333,0,0,0,0,0,0,0,0,0,0,0,0,1793,710,1570,667,223,43
2004,전남,24983,11384,12790,6652,0,0,9325,3569,0,0,1220,461,0,0,0,0,0,0,0,0,0,0,0,0,1648,702,1441,663,207,39
2005,전남,24855,11609,12817,6765,0,0,8895,3568,0,0,1418,535,0,0,0,0,0,0,0,0,0,0,0,0,1725,741,1529,691,196,50
2006,전남,24767,11914,13983,7598,0,0,8294,3263,0,0,977,357,0,0,0,0,0,0,0,0,0,0,0,0,1513,696,1318,644,195,52
2007,전남,25890,12600,13973,7713,0,0,9214,3776,0,0,1020,389,0,0,0,0,0,0,0,0,0,0,0,0,1683,722,1442,660,241,62
2008,전남,25683,12635,13816,7826,0,0,9178,3673,0,0,1109,456,0,0,0,0,0,0,0,0,0,0,0,0,1580,680,1368,614,212,66
2009,전남,24890,12259,13270,7476,0,0,8849,3642,0,0,1248,510,0,0,0,0,0,0,0,0,0,0,0,0,1523,631,1278,565,245,66
2010,전남,25800,13028,13864,7965,0,0,8975,3769,0,0,1336,578,0,0,0,0,0,0,0,0,0,0,0,0,1625,716,1364,637,261,79
2011,전남,24872,12299,12599,7079,0,0,9495,4082,0,0,955,388,0,0,0,0,0,0,0,0,0,0,168,6,1655,744,1351,626,304,118
2012,전남,22756,11137,11008,6209,0,0,10204,4304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172,3,1372,621,1096,531,276,90
2013,전남,21409,10387,10144,5740,0,0,9655,3950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177,0,1433,697,1164,586,269,111
2014,전남,20587,9742,9542,5107,0,0,9369,3901,0,0,0,0,0,0,0,0,0,0,23,0,0,0,168,2,1485,732,1197,612,288,120
2015,전남,20346,9709,9717,5152,0,0,9002,3847,0,0,0,0,0,0,0,0,0,0,17,0,0,0,166,4,1444,706,1125,581,319,125
2016,전남,19825,9426,9266,4826,0,0,9050,3935,0,0,0,0,0,0,0,0,0,0,22,0,0,0,168,5,1319,660,1040,543,279,117
2017,전남,19014,9108,8827,4695,0,0,8714,3755,0,0,0,0,0,0,0,0,0,0,17,0,0,0,152,3,1304,655,1044,541,260,114
2018,전남,18894,8837,8811,4602,0,0,8638,3591,0,0,0,0,0,0,0,0,0,0,18,0,0,0,158,0,1269,644,982,519,287,125
2019,전남,18500,8381,8402,4196,0,0,8707,3556,0,0,0,0,0,0,0,0,0,0,11,0,0,0,137,6,1243,623,935,490,308,133
2020,전남,18111,8282,8064,4073,0,0,8621,3445,0,0,0,0,0,0,0,0,0,0,17,0,0,0,8,1,1401,763,1033,585,368,178
2021,전남,16775,7541,7267,3666,0,0,7959,3158,0,0,0,0,0,0,0,0,0,0,19,1,0,0,118,2,1412,714,1077,569,335,145
1999,경북,65443,26884,31927,14274,0,0,27021,10812,0,0,2500,468,0,0,0,0,0,0,0,0,0,0,0,0,3995,1330,3406,1213,589,117
2000,경북,66307,27997,31035,13896,0,0,28156,11920,0,0,2726,578,0,0,0,0,0,0,0,0,0,0,0,0,4390,1603,3845,1473,545,130
2001,경북,68149,29088,32468,14945,0,0,28370,11849,0,0,2939,688,0,0,0,0,0,0,0,0,0,0,0,0,4372,1606,3792,1469,580,137
2002,경북,61088,26797,26678,12879,0,0,27627,11617,0,0,2278,576,0,0,0,0,0,0,0,0,0,0,0,0,4505,1725,3904,1566,601,159
2003,경북,54709,24421,21920,11216,0,0,26721,11016,0,0,2209,550,0,0,0,0,0,0,0,0,0,0,0,0,3859,1639,3449,1502,410,137
2004,경북,54426,24251,19429,10281,0,0,28352,11476,0,0,2236,462,0,0,0,0,259,154,0,0,0,0,0,0,4150,1878,3572,1650,578,228
