연도,시도,입학정원,전문대학,교육대학,일반대학,방송통신대학,산업대학,기술대학,각종학교,원격및사이버대학,사내대학,전공대학,기능대학,대학원,,
,,,,,,,,,,,,,,계,석사,박사
1999,경북,69784,33090,0,26995,0,2510,0,0,0,0,0,0,7189,5824,1365
2000,경북,68908,32925,0,27875,0,2560,0,0,0,0,0,0,5548,4828,720
2001,경북,68289,31625,0,28065,0,2870,0,0,0,0,0,0,5729,4984,745
2002,경북,69739,31715,0,29255,0,2960,0,0,0,0,0,0,5809,5051,758
2003,경북,69971,31395,0,29675,0,3000,0,0,0,0,0,0,5901,5138,763
2004,경북,68811,29489,0,29202,0,3000,0,0,1400,0,0,0,5720,4859,861
2005,경북,64634,26427,0,28509,0,2832,0,0,1200,0,0,0,5666,4791,875
2006,경북,60815,23647,0,27617,0,2699,0,0,1350,0,0,0,5502,4493,1009
2007,경북,58786,22762,0,26558,0,2612,0,0,1200,0,0,0,5654,4568,1086
2008,경북,58631,22538,0,26252,0,2611,0,0,1600,0,0,0,5630,4524,1106
2009,경북,62003,22218,0,30584,0,1460,0,0,2100,0,0,0,5641,4514,1127
2010,경북,57308,19195,0,28822,0,1460,0,0,2100,0,0,0,5731,4565,1166
2011,경북,57209,18247,0,28843,0,1460,0,0,2600,0,0,330,5729,4535,1194
2012,경북,55653,16962,0,29940,0,0,0,0,2640,0,0,330,5781,4528,1253
2013,경북,51288,15405,0,28477,0,0,0,0,1345,0,0,310,5751,4475,1276
2014,경북,51673,14612,0,28096,0,0,0,0,2750,50,0,320,5845,4569,1276
2015,경북,48459,13016,0,26682,0,0,0,0,2790,26,0,320,5625,4344,1281
2016,경북,47255,12548,0,25962,0,0,0,0,2790,20,0,320,5615,4108,1507
2017,경북,46418,12105,0,25612,0,0,0,0,2790,30,0,320,5561,3996,1565
2018,경북,45029,11138,0,25380,0,0,0,0,2790,24,0,310,5387,4109,1278
2019,경북,44778,10952,0,25323,0,0,0,0,2832,15,0,310,5346,4082,1264
2020,경북,44518,10745,0,25146,0,0,0,0,3100,21,0,290,5216,3989,1227
2021,경북,44480,10679,0,25011,0,0,0,0,3100,26,0,390,5274,4019,1255
1999,경남,36344,16650,405,11720,0,4230,0,0,0,0,0,0,3339,2883,456
2000,경남,37596,17090,450,11770,0,4850,0,0,0,0,0,0,3436,3012,424
2001,경남,37950,17170,450,11760,0,4850,0,0,0,0,0,0,3720,3256,464
2002,경남,38249,17044,450,11910,0,4940,0,0,0,0,0,0,3905,3406,499
2003,경남,37265,13965,460,13175,0,5520,0,0,0,0,0,0,4145,3626,519
2004,경남,36369,13366,540,13135,0,5280,0,0,0,0,0,0,4048,3490,558
2005,경남,35871,13238,540,13010,0,5048,0,0,0,0,0,0,4035,3474,561
2006,경남,32709,12784,540,14026,0,1315,0,0,0,0,0,0,4044,3467,577
2007,경남,32698,12590,496,14094,0,1265,0,0,0,40,0,0,4213,3616,597
2008,경남,32415,12338,469,14167,0,1265,0,0,0,30,0,0,4146,3576,570
2009,경남,31461,12018,452,13631,0,1265,0,0,0,40,0,0,4055,3490,565
2010,경남,31485,11748,409,13631,0,1365,0,0,0,40,0,0,4292,3704,588
2011,경남,32147,11668,362,14925,0,0,0,0,0,40,0,810,4342,3753,589
2012,경남,31499,11405,319,14773,0,0,0,0,0,40,0,830,4132,3516,616
2013,경남,30710,10083,319,15180,0,0,0,0,0,140,0,855,4133,3512,621
2014,경남,30401,9818,319,15135,0,0,0,0,0,140,0,855,4134,3480,654
2015,경남,28830,8664,319,14641,0,0,0,0,0,66,0,855,4285,3636,649
2016,경남,27928,8397,319,14030,0,0,0,0,0,30,0,855,4297,3644,653
2017,경남,27101,8021,319,13709,0,0,0,0,0,30,0,855,4167,3514,653
2018,경남,26605,7758,319,13585,0,0,0,0,0,0,0,845,4098,3426,672
2019,경남,26342,7641,319,13499,0,0,0,0,0,0,0,845,4038,3396,642
2020,경남,25788,7345,319,13231,0,0,0,0,0,0,0,845,4048,3390,658
2021,경남,25136,6967,319,12949,0,0,0,0,0,0,0,845,4056,3397,659
1999,제주,9781,6040,120,3090,0,0,0,0,0,0,0,0,531,482,49
2000,제주,9924,6080,130,3025,0,0,0,0,0,0,0,0,689,631,58
2001,제주,9584,5700,130,3025,0,0,0,0,0,0,0,0,729,665,64
2002,제주,9393,5466,140,3025,0,0,0,0,0,0,0,0,762,685,77
2003,제주,9418,5442,160,3035,0,0,0,0,0,0,0,0,781,702,79
2004,제주,9049,5204,160,2904,0,0,0,0,0,0,0,0,781,690,91
2005,제주,8868,5136,160,2791,0,0,0,0,0,0,0,0,781,690,91
2006,제주,8253,4806,160,2516,0,0,0,0,0,0,0,0,771,670,101
2007,제주,8179,4756,147,2505,0,0,0,0,0,0,0,0,771,669,102
2008,제주,8036,4736,139,2505,0,0,0,0,0,0,0,0,656,527,129
2009,제주,8136,4676,0,2609,0,0,0,0,0,0,0,0,851,710,141
2010,제주,8141,4676,0,2604,0,0,0,0,0,0,0,0,861,717,144
2011,제주,8096,4636,0,2599,0,0,0,0,0,0,0,0,861,719,142
2012,제주,6941,2981,0,3124,0,0,0,0,0,0,0,0,836,692,144
2013,제주,6909,2929,0,3124,0,0,0,0,0,0,0,0,856,712,144
2014,제주,6869,2889,0,3124,0,0,0,0,0,0,0,0,856,712,144
2015,제주,6817,2792,0,3124,0,0,0,0,0,0,0,0,901,757,144
2016,제주,6670,2792,0,2934,0,0,0,0,0,0,0,0,944,790,154
2017,제주,6485,2670,0,2850,0,0,0,0,0,0,0,25,940,786,154
2018,제주,6299,2555,0,2799,0,0,0,0,0,0,0,25,920,766,154
2019,제주,6240,2555,0,2740,0,0,0,0,0,0,0,25,920,766,154
2020,제주,5940,2545,0,2450,0,0,0,0,0,0,0,25,920,766,154
2021,제주,5905,2550,0,2450,0,0,0,0,0,0,0,25,880,726,154
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
주석,,,,,,,,,,,,,,,,
"1. 조사기준일: 연도별 4월 1일

2. 출처: 한국교육개발원 교육통계서비스(https://kess.kedi.re.kr)",,,,,,,,,,,,,,,,
